id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,lat,long,observe_timestamp,filename
66142713,2020-11-01 1:33:48 PM GMT+00:00,2020-11-01,2020-11-01 13:33:48 UTC,Edinburgh,3310757,mbnvcxz,2020-12-05 16:57:34 UTC,2020-12-12 14:23:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/66142713,https://inaturalist-open-data.s3.amazonaws.com/photos/106562473/medium.jpeg,,,,3,0,False,2.0,"Bedfordshire, England, GB",51.8693614268,-0.4763238514,289.0,26132,,obscured,True,gps,gps,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.8693614268,-0.4763238514,2020-11-01,photo_141.png
66472274,2020/05/28 5:24 PM BST,2020-05-28,2020-05-28 16:24:00 UTC,Edinburgh,2875078,garyarmstrong,2020-12-12 17:16:28 UTC,2020-12-12 17:32:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/66472274,https://inaturalist-open-data.s3.amazonaws.com/photos/107165496/medium.jpg,,,noumber 4 j peg,3,1,False,,"England, GB",51.7103702004,-0.4344159782,176.0,26164,,obscured,True,,,Milano real,Milvus milvus,Rotmilan,Aves,5267,51.7103702004,-0.4344159782,2020-05-28,photo_142.png
67457264,Wed Dec 30 2020 15:30:00 GMT+0000 (GMT),2020-12-30,2020-12-30 15:30:00 UTC,UTC,2440402,hullothere,2021-01-02 14:34:30 UTC,2021-06-09 23:07:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67457264,https://inaturalist-open-data.s3.amazonaws.com/photos/108991830/medium.jpg,,,,3,0,False,3.0,"Buckinghamshire, England, GB",51.6707075586,-0.8659536063,5.0,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.6707075586,-0.8659536063,2020-12-30,photo_143.png
67704806,Thu Jan 07 2021 13:42:35 GMT+0000 (GMT),2021-01-07,2021-01-07 13:42:35 UTC,UTC,2839572,meg_impey,2021-01-07 13:43:15 UTC,2021-09-01 16:57:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67704806,https://inaturalist-open-data.s3.amazonaws.com/photos/109458084/medium.jpg,,,,3,0,False,3.0,"Hertfordshire, England, GB",51.7542239788,-0.5291915654,5.0,26164,,obscured,True,,,Nibbio reale,Milvus milvus,Rotmilan,Aves,5267,51.7542239788,-0.5291915654,2021-01-07,photo_144.png
67792461,2021-01-09 1:11:30 PM GMT,2021-01-09,2021-01-09 13:11:30 UTC,UTC,2652804,matt870,2021-01-09 13:18:31 UTC,2021-05-05 19:28:20 UTC,research,,https://www.inaturalist.org/observations/67792461,https://static.inaturalist.org/photos/109623248/medium.jpeg,,,,1,0,False,2.0,"England, GB",51.4719618957,-1.0659637355,6.0,26196,,obscured,True,gps,gps,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.4719618957,-1.0659637355,2021-01-09,photo_145.png
68231608,2021-01-17 12:50:02 PM GMT,2021-01-17,2021-01-17 12:50:02 UTC,London,2102749,nico34r,2021-01-17 20:36:14 UTC,2021-01-24 18:45:56 UTC,research,,https://www.inaturalist.org/observations/68231608,https://inaturalist-open-data.s3.amazonaws.com/photos/110427931/medium.jpeg,,,,3,0,False,2.0,"England, GB",51.5874339384,-0.6676270082,186.0,26196,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.5874339384,-0.6676270082,2021-01-17,photo_146.png
68590327,2021/01/23 5:04 PM GMT,2021-01-23,2021-01-23 17:04:00 UTC,Europe/London,215911,rjdee88888,2021-01-25 08:04:03 UTC,2021-01-27 12:52:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68590327,https://inaturalist-open-data.s3.amazonaws.com/photos/111104036/medium.jpeg,,,,1,0,False,,"England, GB",51.506370884,-0.5655023508,100.0,26196,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.506370884,-0.5655023508,2021-01-23,photo_147.png
69423207,2021/02/11 9:26 AM MST,2021-02-11,2021-02-11 16:26:00 UTC,Arizona,770371,janeyd,2021-02-11 19:59:17 UTC,2021-02-11 19:59:54 UTC,research,,https://www.inaturalist.org/observations/69423207,https://static.inaturalist.org/photos/112635442/medium.jpeg,,,,1,0,False,,"Oxfordshire, England, GB",51.883625203,-1.007500799,61.0,26132,,obscured,True,,,Rotmilan,Milvus milvus,Rotmilan,Aves,5267,51.883625203,-1.007500799,2021-02-11,photo_148.png
69973899,2016-02-16 11:45:00 AM EST,2016-02-16,2016-02-16 16:45:00 UTC,Eastern Time (US & Canada),1514188,zacpeterson,2021-02-22 06:55:13 UTC,2021-02-22 07:24:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/69973899,https://inaturalist-open-data.s3.amazonaws.com/photos/113666090/medium.jpeg,,,,2,0,False,2.0,"England, GB",51.5565443938,-0.7412655721,103.0,26196,,obscured,True,gps,gps,Milan royal,Milvus milvus,Rotmilan,Aves,5267,51.5565443938,-0.7412655721,2016-02-16,photo_149.png
69980958,2021-02-21 6:42:55 PM GMT,2021-02-21,2021-02-21 18:42:55 UTC,London,2102749,nico34r,2021-02-22 11:55:12 UTC,2021-02-23 17:52:23 UTC,research,,https://www.inaturalist.org/observations/69980958,https://inaturalist-open-data.s3.amazonaws.com/photos/113679387/medium.jpeg,,,,4,0,False,2.0,"England, GB",51.5907651213,-0.7825854435,54.0,26196,,obscured,True,gps,gps,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.5907651213,-0.7825854435,2021-02-21,photo_150.png
